"site_key","latitude","longitude","site_id"
"41.75000000_1.98333300",41.75,1.983333,"41.75000000_1.98333300"
"41.77000000_2.86000000",41.77,2.86,"41.77000000_2.86000000"
"41.83333300_-88.23333300",41.833333,-88.233333,"41.83333300_-88.23333300"
"41.97000000_1.41000000",41.97,1.41,"41.97000000_1.41000000"
"42.00000000_1.56666700",42,1.566667,"42.00000000_1.56666700"
"42.03000000_-75.43000000",42.03,-75.43,"42.03000000_-75.43000000"
"42.13000000_-7.44000000",42.13,-7.44,"42.13000000_-7.44000000"
"42.15000000_-6.25000000",42.15,-6.25,"42.15000000_-6.25000000"
"42.15000000_1.63000000",42.15,1.63,"42.15000000_1.63000000"
"42.16666700_-123.81666700",42.166667,-123.816667,"42.16666700_-123.81666700"
"42.19000000_-4.23000000",42.19,-4.23,"42.19000000_-4.23000000"
"42.22500000_-6.56222200",42.225,-6.562222,"42.22500000_-6.56222200"
"42.23000000_-6.77000000",42.23,-6.77,"42.23000000_-6.77000000"
"42.25000000_-6.20000000",42.25,-6.2,"42.25000000_-6.20000000"
"42.26000000_-8.86000000",42.26,-8.86,"42.26000000_-8.86000000"
"42.31666700_-6.21666700",42.316667,-6.216667,"42.31666700_-6.21666700"
"42.42000000_-1.25000000",42.42,-1.25,"42.42000000_-1.25000000"
"42.73333300_-7.90000000",42.733333,-7.9,"42.73333300_-7.90000000"
"42.81666700_-118.88333300",42.816667,-118.883333,"42.81666700_-118.88333300"
"42.95000000_-9.10000000",42.95,-9.1,"42.95000000_-9.10000000"
"42.96666700_-122.81666700",42.966667,-122.816667,"42.96666700_-122.81666700"
"43.00000000_-116.00000000",43,-116,"43.00000000_-116.00000000"
"43.12833300_-122.87444400",43.128333,-122.874444,"43.12833300_-122.87444400"
"43.27717800_6.38424000",43.277178,6.38424,"43.27717800_6.38424000"
"43.28000000_6.39000000",43.28,6.39,"43.28000000_6.39000000"
"43.33333300_-110.13333300",43.333333,-110.133333,"43.33333300_-110.13333300"
