"value","parameter","panel"
-0.239201,"Pooled mean (Hedges' d)","Fixed effect"
-0.351987,"Pooled mean (Hedges' d)","Fixed effect"
-0.527579,"Pooled mean (Hedges' d)","Fixed effect"
-0.333102,"Pooled mean (Hedges' d)","Fixed effect"
-0.155155,"Pooled mean (Hedges' d)","Fixed effect"
-0.0726247,"Pooled mean (Hedges' d)","Fixed effect"
-0.0643129,"Pooled mean (Hedges' d)","Fixed effect"
0.000658244,"Pooled mean (Hedges' d)","Fixed effect"
-0.1096,"Pooled mean (Hedges' d)","Fixed effect"
-0.047202,"Pooled mean (Hedges' d)","Fixed effect"
-0.175405,"Pooled mean (Hedges' d)","Fixed effect"
0.0139022,"Pooled mean (Hedges' d)","Fixed effect"
0.088151,"Pooled mean (Hedges' d)","Fixed effect"
-0.243071,"Pooled mean (Hedges' d)","Fixed effect"
